"uni_lemma","item_definition"
"baa baa","baa baa"
"choo choo","choo choo"
"cockadoodledoo","cockadoodledoo"
"grrr","grrr"
"meow","meow"
"moo","moo"
"ouch","ouch"
"quack quack","quack quack"
"uh oh","uh oh"
"vroom","vroom"
"woof woof","woof woof"
"yum yum","yum yum"
"alligator","alligator"
"animal","animal"
"ant","ant"
"bear","bear"
"bee","bee"
"bird","bird"
"bug","bug"
"bunny","bunny"
"butterfly","butterfly"
"cat","cat"
"chicken (animal)","chicken (animal)"
"cow","cow"
"deer","deer"
"dog","dog"
"donkey","donkey"
"duck","duck"
"elephant","elephant"
"fish (animal)","fish (animal)"
"frog","frog"
"giraffe","giraffe"
"goose","goose"
"hen","hen"
"horse","horse"
"kitty","kitty"
"lamb","lamb"
"lion","lion"
"monkey","monkey"
"moose","moose"
"mouse","mouse"
"owl","owl"
"penguin","penguin"
"pig","pig"
"pony","pony"
"puppy","puppy"
"rooster","rooster"
"sheep","sheep"
"squirrel","squirrel"
"teddybear","teddybear"
"tiger","tiger"
"turkey","turkey"
"turtle","turtle"
"wolf","wolf"
"zebra","zebra"
"airplane","airplane"
"bicycle","bicycle"
"boat","boat"
"bus","bus"
"car","car"
"firetruck","firetruck"
"helicopter","helicopter"
"motorcycle","motorcycle"
"sled","sled"
"stroller","stroller"
"tractor","tractor"
"train","train"
"tricycle","tricycle"
"truck","truck"
"ball","ball"
"balloon","balloon"
"bat (object)","bat"
"blocks","block"
"book","book"
"bubbles","bubbles"
"chalk","chalk"
"crayon","crayon"
"doll","doll"
"game","game"
"glue (object)","glue"
"pen","pen"
"pencil","pencil"
"play dough","play dough"
"present","present"
"puzzle","puzzle"
"story","story"
"toy (object)","toy (object)"
"apple","apple"
"applesauce","applesauce"
"banana","banana"
"beans","beans"
"bread","bread"
"butter","butter"
"cake","cake"
"candy","candy"
"carrot","carrots"
"cereal","cereal"
"cheerios","cheerios"
"cheese","cheese"
"chicken (food)","chicken (food)"
"chocolate","chocolate"
"coffee","coffee"
"coke","coke"
"cookie","cookie"
"corn","corn"
"cracker","cracker"
"pastry","donut"
"drink (beverage)","drink (beverage)"
"egg","egg"
"fish (food)","fish (food)"
"food","food"
"french fries","french fries"
"grapes","grapes"
"green beans","green beans"
"gum","gum"
"hamburger","hamburger"
"ice","ice"
"ice cream","ice cream"
"jello","jello"
"jelly","jelly"
"juice","juice"
"lollipop","lollipop"
"meat","meat"
"melon","melon"
"milk","milk"
"muffin","muffin"
"pasta","noodles"
"nut","nuts"
"orange (food)","orange (food)"
"pancake","pancake"
"peas","peas"
"peanut butter","peanut butter"
"pickle","pickle"
"pizza","pizza"
"popcorn","popcorn"
"popsicle","popsicle"
"chips","potato chip"
"potato","potato"
"pretzel","pretzel"
"pudding","pudding"
"pumpkin","pumpkin"
"raisin","raisin"
"salt","salt"
"sandwich","sandwich"
"sauce","sauce"
"soda","soda/pop"
"soup","soup"
"pasta","spaghetti"
"strawberry","strawberry"
"toast","toast"
"tuna","tuna"
"vanilla","vanilla"
"vitamin","vitamins"
"water (beverage)","water (beverage)"
"yogurt","yogurt"
"beads","beads"
"belt","belt"
"bib","bib"
"boots","boots"
"button","button"
"coat","coat"
"diaper","diaper"
"dress (object)","dress (object)"
"glove","gloves"
"hat","hat"
"jacket","jacket"
"jeans","jeans"
"mitten","mittens"
"necklace","necklace"
"pajamas","pajamas"
"pants","pants"
"scarf","scarf"
"shirt","shirt"
"shoe","shoe"
"shorts","shorts"
"slipper","slipper"
"sneaker","sneaker"
"snowsuit","snowsuit"
"sock","sock"
"sweater","sweater"
"tights","tights"
"underpants","underpants"
"zipper","zipper"
"ankle","ankle"
"arm","arm"
"belly button","belly button"
"butt","buttocks/bottom*"
"cheek","cheek"
"chin","chin"
"ear","ear"
"eye","eye"
"face","face"
"finger","finger"
"foot","foot"
"hair","hair"
"hand","hand"
"head","head"
"knee","knee"
"leg","leg"
"lip","lips"
"mouth","mouth"
"nose","nose"
"owie","owie/boo boo"
"penis","penis*"
"shoulder","shoulder"
"toe","toe"
"tongue","tongue"
"tooth","tooth"
"tummy","tummy"
"vagina","vagina*"
"basket","basket"
"blanket","blanket"
"bottle","bottle"
"bowl","bowl"
"box","box"
"broom","broom"
"brush (object)","brush"
"bucket","bucket"
"camera","camera"
"can (object)","can (object)"
"clock","clock"
"comb (object)","comb"
"cup","cup"
"dish","dish"
"fork","fork"
"trash","garbage"
"glass","glass"
"glasses","glasses"
"hammer","hammer"
"jar","jar"
"key","keys"
"knife","knife"
"lamp","lamp"
"light (object)","light"
"medicine","medicine"
"money","money"
"mop (object)","mop"
"nail (object)","nail"
"napkin","napkin"
"paper","paper"
"penny","penny"
"picture","picture"
"pillow","pillow"
"plant","plant"
"plate","plate"
"purse","purse"
"radio","radio"
"scissors","scissors"
"soap","soap"
"spoon","spoon"
"tape (object)","tape"
"telephone","telephone"
"tissue","tissue/kleenex"
"toothbrush","toothbrush"
"towel","towel"
"trash","trash"
"tray","tray"
"vacuum","vacuum"
"walker","walker"
"watch (object)","watch (object)"
"basement","basement"
"bathroom","bathroom"
"bathtub","bathtub"
"bed","bed"
"bedroom","bedroom"
"bench","bench"
"chair","chair"
"closet","closet"
"couch","couch"
"crib","crib"
"door","door"
"drawer","drawer"
"dryer","dryer"
"garage","garage"
"high chair","high chair"
"kitchen","kitchen"
"living room","living room"
"oven","oven"
"play pen","play pen"
"porch","porch"
"potty","potty"
"rocking chair","rocking chair"
"refrigerator","refrigerator"
"room","room"
"shower","shower"
"sink","sink"
"couch","sofa"
"stairs","stairs"
"stove","stove"
"table","table"
"tv","TV"
"window","window"
"washing machine","washing machine"
"yard","backyard"
"cloud","cloud"
"flag","flag"
"flower","flower"
"garden","garden"
"grass","grass"
"hose","hose"
"ladder","ladder"
"lawn mower","lawn mower"
"moon","moon"
"pool","pool"
"rain","rain"
"rock (object)","rock"
"roof","roof"
"sandbox","sandbox"
"shovel","shovel"
"sidewalk","sidewalk"
"sky","sky"
"slide (object)","slide (object)"
"snow","snow"
"snowman","snowman"
"sprinkler","sprinkler"
"star","star"
"stick","stick"
"stone","stone"
"street","street"
"sun","sun"
"swing (object)","swing (object)"
"tree","tree"
"water (not beverage)","water (not beverage)"
"wind","wind"
"beach","beach"
"camping","camping"
"church","church*"
"circus","circus"
"country","country"
"downtown","downtown"
"farm","farm"
"gas station","gas station"
"home","home"
"house","house"
"movie","movie"
"outside","outside"
"park","park"
"party","party"
"picnic","picnic"
"playground","playground"
"school","school"
"store","store"
"forest","woods"
"work (place)","work (place)"
"yard","yard"
"zoo","zoo"
"aunt","aunt"
"baby","baby"
"babysitter","babysitter"
"babysitter's name","babysitter's name"
"boy","boy"
"brother","brother"
"child","child"
"clown","clown"
"cowboy","cowboy"
"daddy","daddy*"
"doctor","doctor"
"firefighter","fireman"
"friend","friend"
"girl","girl"
"grandma","grandma*"
"grandpa","grandpa*"
"lady","lady"
"mailman","mailman"
