"uni_lemma","item_definition"
"yesterday","ayer"
"after","después"
"day","día"
"today","hoy"
"tomorrow","mañana"
"night","noche"
"early","temprano"
"yellow","amarillo"
"blue","azul"
"pretty","bonita"
"hot","caliente"
"tired","cansado"
"little (description)","chico"
"happy","contento"
"careful","cuidado"
"different","diferente"
"hard","difícil"
"sick","enfermo"
"angry","enojado"
"ugly","feo"
"cold","frío"
"yucky","fuchi"
"big","grande"
"cute","guapo"
"hungry","hambre"
"same","igual"
"clean (description)","limpio"
"full","lleno"
"bad","malo"
"scared","miedo"
"new","nuevo"
"dark","oscuro"
"heavy","pesado"
"little (description)","poco"
"red","rojo"
"broken","roto"
"thirsty","sed"
"soft","suave"
"dirty","sucio"
"sleepy","sueño"
"sad","triste"
"empty","vacío"
"green","verde"
"old","viejo"
"that","aquel"
"that","aquella"
"1SG","él (pronouns)"
"1SG","ella"
"1PL","ellas"
"1PL","ellos"
"that","esa"
"those","esas"
"that","ese"
"that","eso"
"those","esos"
"this","ésta"
"these","éstas"
"this","éste"
"this","esto"
"these","éstos"
"3SG","le"
"3PL","les"
"3SG","lo"
"1SG","me"
"1SG.POSS","mía"
"1SG.POSS","mías"
"1SG.POSS","mío"
"1SG.POSS","míos"
"REFL","se"
"3SG","su"
"2SG","te"
"2SG","tú"
"2SG.POSS","tuya"
"2SG.POSS","tuyas"
"2SG.POSS","tuyo"
"2SG.POSS","tuyos"
"1SG","yo"
"how","cómo"
"which (question)","cuál"
"where (question)","dónde está"
"why","por qué"
"what","qué"
"who","quién"
"the","el (articles)"
"the","la"
"the","las"
"the","los"
"a","un"
"a","una"
"a","unas"
"a","unos"
"more","más"
"a lot","mucho"
"nothing","nada"
"none","no hay"
"again","otro/otra vez"
"also","también"
"all","todo"
"already","ya"
"down","abajo"
"inside","adentro"
"out","afuera"
"there","ahí"
"there","alla/allí"
"here","aquí"
"up","arriba"
"back (location)","atrás"
"on","encima"
"of","de"
"in","en"
"for","para"
