"uni_lemma","item_definition"
"baa baa","baa baa"
"choo choo","choo choo"
"cockadoodledoo","cockadoodledoo"
"grrr","grrr"
"meow","meow"
"moo","moo"
"ouch","ouch"
"quack quack","quack quack"
"uh oh","uh oh"
"vroom","vroom"
"woof woof","woof woof"
"yum yum","yum yum"
"animal","animal"
"bear","bear"
"bee","bee"
"bird","bird"
"bug","bug"
"bunny","bunny"
"butterfly","butterfly"
"cat","cat"
"chicken (animal)","chicken (animal)"
"cow","cow"
"deer","deer"
"dog","dog"
"donkey","donkey"
"duck","duck"
"elephant","elephant"
"fish (animal)","fish (animal)"
"frog","frog"
"giraffe","giraffe"
"goose","goose"
"horse","horse"
"kitty","kitty"
"lamb","lamb"
"lion","lion"
"monkey","monkey"
"mouse","mouse"
"owl","owl"
"penguin","penguin"
"pig","pig"
"pony","pony"
"puppy","puppy"
"sheep","sheep"
"squirrel","squirrel"
"teddybear","teddybear"
"tiger","tiger"
"turkey","turkey"
"turtle","turtle"
"airplane","airplane"
"bicycle","bicycle"
"bus","bus"
"car","car"
"firetruck","firetruck"
"motorcycle","motorcycle"
"stroller","stroller"
"train","train"
"truck","truck"
"ball","ball"
"balloon","balloon"
"blocks","block"
"book","book"
"bubbles","bubbles"
"doll","doll"
"pen","pen"
"toy (object)","toy (object)"
"apple","apple"
"banana","banana"
"bread","bread"
"butter","butter"
"cake","cake"
"candy","candy"
"carrot","carrots"
"cereal","cereal"
"cheerios","cheerios"
"cheese","cheese"
"chicken (food)","chicken (food)"
"coffee","coffee"
"cookie","cookie"
"cracker","cracker"
"drink (beverage)","drink (beverage)"
"egg","egg"
"fish (food)","fish (food)"
"food","food"
"ice cream","ice cream"
"juice","juice"
"meat","meat"
"milk","milk"
"pasta","noodles"
"orange (food)","orange (food)"
"peas","peas"
"pizza","pizza"
"raisin","raisin"
"pasta","spaghetti"
"toast","toast"
"water (beverage)","water (beverage)"
"beads","beads"
"bib","bib"
"boots","boots"
"button","button"
"coat","coat"
"diaper","diaper"
"dress (object)","dress (object)"
"hat","hat"
"jacket","jacket"
"jeans","jeans"
"necklace","necklace"
"pajamas","pajamas"
"pants","pants"
"shirt","shirt"
"shoe","shoe"
"shorts","shorts"
"sock","sock"
"sweater","sweater"
"zipper","zipper"
"arm","arm"
"belly button","belly button"
"cheek","cheek"
"ear","ear"
"eye","eye"
"face","face"
"foot","foot"
"finger","finger"
"hair","hair"
"hand","hand"
"head","head"
"knee","knee"
"leg","leg"
"mouth","mouth"
"nose","nose"
"owie","owie/boo boo"
"tooth","tooth"
"toe","toe"
"tongue","tongue"
"tummy","tummy"
"bathroom","bathroom"
"bathtub","bathtub"
"bed","bed"
"bedroom","bedroom"
"chair","chair"
"couch","couch"
"crib","crib"
"door","door"
"drawer","drawer"
"garage","garage"
"high chair","high chair"
"kitchen","kitchen"
"living room","living room"
"oven","oven"
"play pen","play pen"
"potty","potty"
"refrigerator","refrigerator"
"rocking chair","rocking chair"
"sink","sink"
"stairs","stairs"
"stove","stove"
"table","table"
"tv","TV"
"window","window"
"blanket","blanket"
"bottle","bottle"
"bowl","bowl"
"box","box"
"broom","broom"
"brush (object)","brush"
"clock","clock"
"comb (object)","comb"
"cup","cup"
"dish","dish"
"fork","fork"
"glass","glass"
"glasses","glasses"
"hammer","hammer"
"key","keys"
"lamp","lamp"
"light (object)","light"
"medicine","medicine"
"money","money"
"paper","paper"
"penny","penny"
"picture","picture"
"pillow","pillow"
"plant","plant"
"plate","plate"
"purse","purse"
"radio","radio"
"scissors","scissors"
"soap","soap"
"spoon","spoon"
"telephone","telephone"
"toothbrush","toothbrush"
"towel","towel"
"trash","trash"
"vacuum","vacuum"
"watch (object)","watch (object)"
"yard","backyard"
"beach","beach"
"church","church*"
"flower","flower"
"garden","garden"
"home","home"
"house","house"
"moon","moon"
"outside","outside"
"park","park"
"party","party"
"pool","pool"
"rain","rain"
"rock (object)","rock"
"school","school"
"shovel","shovel"
"sky","sky"
"slide (object)","slide (object)"
"snow","snow"
"star","star"
"store","store"
"sun","sun"
"swing (object)","swing (object)"
"tree","tree"
"water (not beverage)","water (not beverage)"
"work (place)","work (place)"
"zoo","zoo"
"aunt","aunt"
"baby","baby"
"babysitter","babysitter"
"babysitter's name","babysitter's name"
"boy","boy"
"brother","brother"
"child","child"
"daddy","daddy*"
"girl","girl"
"grandma","grandma*"
"grandpa","grandpa*"
"lady","lady"
"man","man"
"mommy","mommy*"
"child's own name","child's own name"
"people","people"
"person","person"
"sister","sister"
"teacher","teacher"
"uncle","uncle"
"bath","bath"
"breakfast","breakfast"
"bye","bye"
"dinner","dinner"
"don't","don't"
"hello","hello"
"hi","hi"
"lunch","lunch"
"nap","nap"
"good night","night night"
"no","no"
"pattycake","pattycake"
"peekaboo","peekaboo"
"please","please"
"shh","shh/shush/hush"
"thank you","thank you"
"wait","wait"
"wanna","wanna/want to"
"yes","yes"
"bite","bite"
"blow","blow"
"break","break"
"bring","bring"
"bump","bump"
"clean (action)","clean (action)"
"close","close"
"cry","cry"
"dance","dance"
"draw","draw"
"drink (action)","drink (action)"
"drive","drive"
"eat","eat"
"fall","fall"
"feed","feed"
"finish","finish"
"get","get"
"give","give"
"go","go"
"help","help"
"hit","hit"
"hug","hug"
"hurry","hurry"
"jump","jump"
"kick","kick"
"kiss","kiss"
"look","look"
"love","love"
"open (action)","open"
"play","play"
"pull","pull"
"push","push"
"put","put"
"read","read"
"ride","ride"
"run","run"
"say","say"
"see","see"
"show","show"
"sing","sing"
"sleep","sleep"
"smile","smile"
"splash","splash"
"stop","stop"
"swim","swim"
"swing (action)","swing (action)"
"take","take"
"throw","throw"
"tickle","tickle"
"touch","touch"
"watch (action)","watch (action)"
"walk","walk"
"wash","wash"
"wipe","wipe"
"write","write"
"day","day"
"later","later"
"morning","morning"
"night","night"
"now","now"
"today","today"
"tomorrow","tomorrow"
"tonight","tonight"
"all gone","all gone"
"asleep","asleep"
"bad","bad"
"big","big"
"blue","blue"
"broken","broken"
"careful","careful"
"clean (description)","clean (description)"
"cold","cold"
"cute","cute"
"dark","dark"
"dirty","dirty"
"dry (description)","dry (description)"
"empty","empty"
"fast","fast"
"fine","fine"
"gentle","gentle"
"good","good"
"happy","happy"
"hard","hard"
"hot","hot"
"hungry","hungry"
"hurt (description)","hurt"
"little (description)","little (description)"
"naughty","naughty"
"nice","nice"
"old","old"
"pretty","pretty"
"red","red"
"scared","scared"
"sick","sick"
"sleepy","sleepy"
"soft","soft"
"thirsty","thirsty"
"tired","tired"
"wet (description)","wet"
"yucky","yucky"
"3SG.POSS","his"
"3SG.POSS","her"
"1SG","I"
"3SG","it"
"1SG","me"
"1SG.POSS","mine"
"1SG.POSS","my"
"that","that"
"this","this"
"2SG","you"
"2SG.POSS","your"
"how","how"
"what","what"
"when (question)","when"
"where (question)","where"
"who","who"
"why","why"
"away","away"
"back (location)","back"
"down","down"
"in","in"
"inside","inside"
