token,uni_lemma,token_clean,category,l1,growth_rate_p,median_aoa_p,growth_rate_u,median_aoa_u
tutú,choo choo,tutú,sounds,es,0.1294063992900105,26.194131789998377,0.23716919261972239,18.942484521684282
quiquiriquí,cockadoodledoo,quiquiriquí,sounds,es,0.15903180166060443,28.349361880359112,0.2638354818908758,18.132186285265718
¡pum!,bang bang,pum,sounds,es,0.13996745826291698,23.459732717476417,0.1804360415480531,17.4451327165715
pipí,honk honk,pipí,sounds,es,0.2828276710093652,18.11450173935499,0.26379384280777957,14.366811360381265
pío pío,tweet tweet,pío pío,sounds,es,0.194521422387116,20.967501812374174,0.2981200671164559,14.865052360769685
muu,moo,muu,sounds,es,0.16693305567106564,21.71440383445393,0.22505485938242833,17.13038375105759
miau,meow,miau,sounds,es,0.21315369334746911,18.648988239478307,0.2331866784930224,12.9633258256968
guaguá,woof woof,guaguá,sounds,es,0.3075846587975935,14.275596492703901,0.33594748672014485,9.654378999947392
cuacuá,quack quack,cuacuá,sounds,es,0.14357541875138397,23.846890272612516,0.2208068998174677,16.78822263822652
¡am!,yum yum,am,sounds,es,0.06423092217219607,15.409821844480334,0.09559222501648548,5.879050277422999
¡ay!,ouch,ay,sounds,es,0.17328536052979923,14.058815829212554,0.19997274789677638,8.869377862120974
víbora,snake,víbora,animals,es,0.23657700353059738,29.60229265578705,,
venado,deer,venado,animals,es,0.15441965063565155,34.46318850783407,0.4330603167999999,20.452430055900162
vaca,cow,vaca,animals,es,0.23474904898658863,22.372792764766192,0.27655551629116065,17.32907794935022
tortuga,turtle,tortuga,animals,es,0.1875305661164412,28.323575488198436,0.36080559500536485,19.872571736362364
tigre,tiger,tigre,animals,es,0.17412063940712355,30.26812284242503,0.42596329539069255,19.779810502978844
ratón,mouse,ratón,animals,es,0.2233522688445274,25.433431875656957,0.3602974912562333,19.111886174234428
rana,frog,rana,animals,es,0.20151619137103885,27.268569323761625,0.3112394351704186,19.96966527842418
puerco,pig,puerco,animals,es,0.176443590872371,28.94348600496278,0.3303282896425803,19.124218817092054
pollito,chick,pollito,animals,es,0.19048850851134028,23.33912660523901,0.30303242073218895,15.786983124869787
pingüino,penguin,pingüino,animals,es,0.1655310056218493,33.663601532375125,0.4195731414742126,20.687439771981627
pescado,fish (animal),pescado,animals,es,0.2132652937839441,26.335819641184415,0.3383668865022123,19.256650928186332
perro,dog,perro,animals,es,0.20901068086896712,18.056370176521835,0.3010052152454792,9.684638050615359
pato,duck,pato,animals,es,0.22589088876197103,21.812300854352273,0.26848186824267556,17.596621082593888
pájaro,bird,pájaro,animals,es,0.1932158658416606,23.214717449458885,0.22401013343696988,14.765818916017361
oso,bear,oso,animals,es,0.23656303779064775,22.646817119771065,0.21144909182771948,20.263843473552807
mosco,mosquito,mosco,animals,es,0.1752175645178529,29.1375330922836,,
mosca,fly (animal),mosca,animals,es,0.22031020353694808,24.499907785689942,0.3208045550359836,17.22910027894432
mono,monkey,mono,animals,es,0.19265265786833585,26.05300378481242,0.3484834732212658,20.008007807211424
mariposa,butterfly,mariposa,animals,es,0.2139820492130289,27.17553010015428,0.3409641776673584,19.11177345038196
lobo,wolf,lobo,animals,es,0.1806154043849107,28.885678710396444,0.4675140651232096,19.254948584347247
león,lion,león,animals,es,0.2256919549239283,25.557181574028476,0.32632433998121835,19.287938741112647
jirafa,giraffe,jirafa,animals,es,0.20348102610286764,28.86039196326121,0.46159400513664334,19.981454254752848
hormiga,ant,hormiga,animals,es,0.21893549561192793,25.510181756895857,0.3530096025536675,18.151485574892178
hipopótamo,hippopotamus,hipopótamo,animals,es,0.1664974351186192,34.02617271468513,0.3981198710127193,21.11049808961964
guajolote,turkey,guajolote,animals,es,0.1277256582167891,38.06539003699905,0.36528587443794286,20.900182586042344
gato,cat,gato,animals,es,0.2548066806426737,19.741296545351148,0.2299311589518076,13.352939549294128
ganso,goose,ganso,animals,es,0.1290386746545429,36.76989552453274,,
gallina,hen,gallina,animals,es,0.20345703352901262,25.03068477153659,0.2637554763989096,17.987003147959047
foca,seal (animal),foca,animals,es,0.1747757992895424,29.569473175445353,,
elefante,elephant,elefante,animals,es,0.2559891419965937,24.798858850398492,0.28946627243201073,20.580797020795607
conejo,bunny,conejo,animals,es,0.2219909870877799,25.08355164219316,0.26505057282518024,19.28568085359112
cocodrilo,crocodile,cocodrilo,animals,es,0.19136978249501238,31.218534748997058,,
cebra,zebra,cebra,animals,es,0.14636558910072878,35.800215636470945,,
caballo,horse,caballo,animals,es,0.2538364990460396,21.0017220196193,0.26837269889821136,15.80923859779979
burro,donkey,burro,animals,es,0.19435226645926595,25.51316322128286,0.32281691961747705,18.34019300829384
búho,owl,búho,animals,es,0.15852302117824946,32.00409512259685,0.32338588580652655,21.42736194573557
buey,ox,buey,animals,es,0.11153677277839696,35.70274013599978,,
borrego,lamb,borrego,animals,es,0.17697977910184415,29.29449682371732,0.3157355675195631,19.309516754451092
bicho,bug,bicho,animals,es,0.1033136025804087,35.75834069807837,,
ardilla,squirrel,ardilla,animals,es,0.1628807159573752,32.07759762632348,0.33095611190408303,21.23986599122675
araña,spider,araña,animals,es,0.23319687777492185,23.767723229376934,0.379203587673809,17.51367899950371
animal,animal,animal,animals,es,0.2125456595139425,26.212144703404512,0.3094344477301796,17.496243587990733
abeja,bee,abeja,animals,es,0.16605115654221453,30.599376592303173,0.37716951812462374,19.545820442499735
trineo,sled,trineo,vehicles,es,0.08123195702610476,55.89896115049302,,
triciclo (vehicles),tricycle,triciclo,vehicles,es,0.1923761495229789,28.334367311268096,,
tren,train,tren,vehicles,es,0.23368182891263978,22.52044751015299,0.28990619705999726,17.62265949533686
tractor,tractor,tractor,vehicles,es,0.163169712413306,36.478898470163045,,
moto,motorcycle,moto,vehicles,es,0.24331719322947462,23.28013175696606,0.27892560648478243,17.94690718571631
helicóptero,helicopter,helicóptero,vehicles,es,0.1813705956889827,30.737296648657264,,
carreola,stroller,carreola,vehicles,es,0.16103289567235224,30.07799575504943,0.16507881729324375,15.921267800203356
camión de bombero,firetruck,camión de bombero,vehicles,es,0.18774071681688037,33.070394867345854,0.4216630854294827,19.381643203184087
bicicleta,bicycle,bicicleta,vehicles,es,0.23606250005874174,24.75809291257755,0.3260027289624977,16.851872643429886
barco,boat,barco,vehicles,es,0.20784154885033793,27.44180949555252,0.5117916206304133,18.693212165765033
avión,airplane,avión,vehicles,es,0.25097675214173804,21.542110938454428,0.3186021460550271,15.930163387793524
autobús,bus,autobús,vehicles,es,0.12943329279972518,31.22076677436205,,
agua,water (beverage),agua,food_drink,es,0.3924391956755335,13.495630159195397,0.25723235978094183,5.607262715288519
arroz,rice,arroz,food_drink,es,0.23678950843460275,23.352677961969167,0.2593735907674651,17.557423788558413
atole,atole,atole,food_drink,es,0.1696573442783589,29.478956768684192,0.23396203573588403,19.029995740985193
atún,tuna,atún,food_drink,es,0.21061541621989646,27.969305822162926,,
azúcar,sugar,azúcar,food_drink,es,0.21960812575028144,24.91784758606399,,
café,coffee,café,food_drink,es,0.22792856894064073,25.27983255013336,0.33532883097295396,19.880317362963424
calabaza,pumpkin,calabaza,food_drink,es,0.1947403919079367,29.93789041748762,,
carne,meat,carne,food_drink,es,0.26767738342184794,22.27615588323912,0.2732001514274933,16.717412953609205
cereal,cereal,cereal,food_drink,es,0.16144912640725198,28.538774342044654,0.18277266429207206,19.254496518092036
chícharo,peas,chícharo,food_drink,es,0.201049689554622,30.116929406670085,,
chicle,gum,chicle,food_drink,es,0.23421308987989822,23.536785259700714,,
chile,chili,chile,food_drink,es,0.2470088866141575,22.385356464087383,0.37629642034893,16.6350727159781
chocolate,chocolate,chocolate,food_drink,es,0.19247625134856014,22.47639693574597,,
comida,food,comida,food_drink,es,0.21664069761755628,21.887957177101075,0.2037618413120171,10.492805524420048
dulce,candy,dulce,food_drink,es,0.23930887155861028,21.491918125091278,0.29557116713189285,12.133860608149044
durazno,peach,durazno,food_drink,es,0.19283183259903328,30.293416332723407,,
ejotes,beans,ejotes,food_drink,es,0.17667633286315046,33.4020419418395,0.2705380418083553,16.680936106272142
elote,corn,elote,food_drink,es,0.22488671232401025,26.427387587831962,,
espagueti,pasta,espagueti,food_drink,es,0.15304524231205252,31.795502809955384,,
fresa,strawberry,fresa,food_drink,es,0.2055077818274036,27.307867895154725,,
frijoles,beans,frijoles,food_drink,es,0.24086228449229746,24.080838403499403,0.2705380418083553,16.680936106272142
galleta,cookie,galleta,food_drink,es,0.2510415826882439,19.947614454498385,0.20511006089536574,9.567030473167815
gelatina,jelly,gelatina,food_drink,es,0.19075059774120354,23.375026572867153,,
hamburguesa,hamburger,hamburguesa,food_drink,es,0.2237563996791817,30.88387236532991,,
hielo,ice,hielo,food_drink,es,0.1868939263736157,28.05544225768735,,
hot cakes,pancake,hot cakes,food_drink,es,0.16954722016400214,32.501549027088636,,
huevo,egg,huevo,food_drink,es,0.2659474027221709,20.984348123589804,0.2686280786583666,14.827963053750453
jamón,ham,jamón,food_drink,es,0.23344513907969994,23.98442642214285,0.3021176665976526,16.328413099168557
jugo,juice,jugo,food_drink,es,0.26360175093204924,20.893658440003442,0.2049800879608114,13.543891644472211
leche,milk,leche,food_drink,es,0.29681556721500774,17.13387996528579,0.12316133389627433,3.7529627653045248
licuado,smoothie,licuado,food_drink,es,0.1505128186115113,34.425348935090035,,
limonada,lemonade,limonada,food_drink,es,0.15428224413567596,33.5378518597773,,
mantequilla,butter,mantequilla,food_drink,es,0.18900074978258274,32.263868776644536,,
manzana,apple,manzana,food_drink,es,0.2541072338777857,22.468790301399583,0.18243830567195574,14.099344797401386
melón,melon,melón,food_drink,es,0.21393862376047748,26.759184537687926,,
mermelada,jam,mermelada,food_drink,es,0.1827872334141324,31.979038202614948,,
naranja,orange (food),naranja,food_drink,es,0.24654685794428796,23.353843927075626,0.2288307978730999,15.737619721918177
paleta,lollipop,paleta,food_drink,es,0.22535620860165748,21.738436071767417,0.26474863177718927,13.15346758477473
palomitas,popcorn,palomitas,food_drink,es,0.21364531306956006,27.49476567204729,,
pan,bread,pan,food_drink,es,0.3230156200725842,16.635245709705583,0.29942690133839256,10.484612910169822
pan dulce,pastry,pan dulce,food_drink,es,0.14515647326282655,32.42573973138091,,
papas,potato,papas,food_drink,es,0.18681943417998953,18.458830351362344,,
papitas,chips,papitas,food_drink,es,0.19386811812131285,26.100692807632907,,
pasas,raisin,pasas,food_drink,es,0.1963647120937136,29.128628879076533,,
pastel,cake,pastel,food_drink,es,0.24348478160718193,23.68098913329171,0.30582921735753715,17.428272530867503
peanut butter,peanut butter,peanut butter,food_drink,es,0.09418057836620827,51.212505502322,,
pescado (food_drink),fish (food),pescado,food_drink,es,0.22157453428637575,27.710330447733995,,
