token,uni_lemma,token_clean,category,l1,growth_rate_p,median_aoa_p,growth_rate_u,median_aoa_u
pollo,chicken (food),pollo,food_drink,es,0.2846577987995878,21.01892922224597,0.260915811513593,14.592186949178947
quesadilla,quesadilla,quesadilla,food_drink,es,0.20500486816934096,28.690121828897134,0.34559875963684533,19.112063879576993
queso,cheese,queso,food_drink,es,0.25212159834442727,23.421109308907027,0.2870370725718816,17.57014486487936
sal,salt,sal,food_drink,es,0.23188029354117026,23.52770327050038,,
salchicha,hot dog,salchicha,food_drink,es,0.23159168252696377,25.189768997535666,0.33387444291729323,17.99537427434609
salsa,sauce,salsa,food_drink,es,0.2051205962819506,30.001523502513958,,
sandía,watermelon,sandía,food_drink,es,0.1993824343126696,28.739302915843105,,
sopa,soup,sopa,food_drink,es,0.23652062336823548,19.18221828987213,0.28495742825766407,11.841105797452771
taco,taco,taco,food_drink,es,0.20781935948447525,23.096355964237585,,
té (food),tea,té,food_drink,es,0.16917382579181317,28.364379486187058,,
tortilla,tortilla,tortilla,food_drink,es,0.2191240189336339,22.564220301926113,0.23227861487143794,12.97215229442979
uvas,grapes,uvas,food_drink,es,0.22478849067415727,24.085075735513,0.30059632382458246,17.91248348227398
vainilla,vanilla,vainilla,food_drink,es,0.1789400851163849,35.01405582969666,,
vitaminas,vitamin,vitaminas,food_drink,es,0.1597433701603621,34.38160251553379,,
yoghurt,yogurt,yoghurt,food_drink,es,0.18910551348895024,25.339983674002106,,
zanahoria,carrot,zanahoria,food_drink,es,0.2159833059997393,28.232838497477637,,
botón,button,botón,clothing,es,0.21890083246641434,25.336586213886296,0.24672605559315142,18.5615543113728
bufanda,scarf,bufanda,clothing,es,0.15202134445217486,36.71292208300402,,
calcetín,sock,calcetín,clothing,es,0.1876227236289066,22.064331250887456,0.2598625540388265,12.470788945070035
calzón,underpants,calzón,clothing,es,0.2714627868598441,23.271954646879767,0.2844139664672566,17.130517365495766
camisa,shirt,camisa,clothing,es,0.2464985551006032,25.850187179782797,,
chancla,slipper,chancla,clothing,es,0.18548445425247664,27.11243922468502,,
cierre,zipper,cierre,clothing,es,0.19466110562825328,31.287453217961446,0.39428484403861136,20.30512691233942
collar,necklace,collar,clothing,es,0.199640506632013,30.458458757605904,0.24867291450518417,20.8869792968432
falda,skirt,falda,clothing,es,0.22647288397000984,28.7502645319304,0.32298386818978914,20.12261926553913
gorra,hat,gorra,clothing,es,0.18672021462176577,25.07189790782531,0.2590329312559701,17.149420832988675
guantes,glove,guantes,clothing,es,0.21129773047200984,29.044288972540727,,
lentes,glasses,lentes,clothing,es,0.24635354843108448,25.18714872025323,0.24748847988691505,16.53585129363608
medias,tights,medias,clothing,es,0.21742388780237437,29.427876461020368,,
pañal,diaper,pañal,clothing,es,0.2555174018665438,20.660002027581342,0.24842170316781076,9.267209709023797
pantalón,pants,pantalón,clothing,es,0.2742597685558088,23.47981981971785,0.3305082051330158,15.847627083353608
pijama,pajamas,pijama,clothing,es,0.210215865866534,27.18841118619119,0.2593304105762783,18.447028917289504
playera,t-shirt,playera,clothing,es,0.2070268429350937,28.779620709324114,0.2737874548024177,17.600501639847373
ropa,clothes,ropa,clothing,es,0.22326397446098684,24.572002191145454,,
shorts,shorts,shorts,clothing,es,0.2274827189155177,27.95883077941658,0.325294117863236,19.314443263602726
sombrero,hat,sombrero,clothing,es,0.18676399206944724,28.599500432648238,0.2590329312559701,17.149420832988675
suéter,sweater,suéter,clothing,es,0.24013336144050337,25.14870464083634,0.29883723293994363,15.846493503998438
vestido,dress (object),vestido,clothing,es,0.21594846922297248,26.824245605890972,0.24424663931064144,18.107132383660492
zapato,shoe,zapato,clothing,es,0.34685545453848265,17.717931132664024,0.33526080797628516,10.059548954665186
barba,beard,barba,body_parts,es,0.19115426842102773,30.443661959051177,,
bigote,mustache,bigote,body_parts,es,0.20641204208892863,29.419911470827522,0.311046515525128,19.7262613073019
boca,mouth,boca,body_parts,es,0.30334277184457326,19.864466763626435,0.30549810413264467,10.96695332915458
brazo,arm,brazo,body_parts,es,0.22174810647882967,24.932955610589048,0.2858675200283224,15.37888767422657
cabeza,head,cabeza,body_parts,es,0.26815642344930835,21.181454231162395,0.30040534480782694,12.161781902993951
cachete,cheek,cachete,body_parts,es,0.21266523284197578,26.469829120647123,0.2721455784699807,17.727104886702637
cara,face,cara,body_parts,es,0.2660543241576472,23.048612661975472,0.29738198080271816,15.155424258235215
dedo,finger,dedo,body_parts,es,0.2209865052268574,21.54526129822404,0.22636792765618163,14.734382662920071
dientes,tooth,dientes,body_parts,es,0.26738951205403505,22.2752880997022,0.2674175862765172,14.220556594092384
hombro,shoulder,hombro,body_parts,es,0.22826209610026707,29.531629923387797,,
labios,lip,labios,body_parts,es,0.23150210078728167,27.69684733652799,,
lengua,tongue,lengua,body_parts,es,0.2549074066214059,23.341594226288485,0.2927949555715266,14.867979911274505
mano,hand,mano,body_parts,es,0.22111099763408865,18.353284534892452,0.29637569691710836,11.266191463700784
nalgas,butt,nalgas,body_parts,es,0.19517887719756613,26.106515110239716,,
nariz,nose,nariz,body_parts,es,0.27880159840725394,21.212247283031676,0.29793447939853945,14.255824856300435
ojos,eye,ojos,body_parts,es,0.3094711733470962,20.425137919178884,0.3243603503849333,12.423772336434752
ombligo,belly button,ombligo,body_parts,es,0.21643569546446711,25.557388875735704,0.35935941730788307,16.167075151530426
oreja,ear,oreja,body_parts,es,0.22853220898821552,22.89058400429138,0.30729465232618897,15.579036274183528
panza,tummy,panza,body_parts,es,0.2558288275440715,22.14167962334377,0.36112285818234885,14.251143182419076
pelo,hair,pelo,body_parts,es,0.2954201791777548,21.172149684385385,0.2963943042743804,13.245659270539027
pene,penis,pene,body_parts,es,0.14897471025344275,29.8026264966039,,
piernas,leg,piernas,body_parts,es,0.25210614676697185,25.16764573181764,0.283472855986151,17.29846436334334
pies,foot,pies,body_parts,es,0.27172229751863447,21.241523403647072,0.26553738632312346,12.782978081954992
rodilla,knee,rodilla,body_parts,es,0.24171904263302668,26.981658896488348,0.3677231495534452,19.118956430920818
vagina,vagina,vagina,body_parts,es,0.12380395868559696,37.51837282240977,,
bat,bat (object),bat,toys,es,0.11567489071445275,39.347608762622116,,
burbujas,bubbles,burbujas,toys,es,0.17275838756779605,30.428587880882294,,
colores,colors,colores,toys,es,0.2551068275849627,25.338987478205077,,
crayolas,crayon,crayolas,toys,es,0.18046350793508542,29.922478609658285,,
juguete,toy (object),juguete,toys,es,0.2289858231562204,23.614016866610413,0.19825192118688742,11.819235758957413
lápiz,pen/pencil,lápiz,toys,es,0.27024137660939457,22.7780214148459,0.3322176902819869,15.761902157170914
libro,book,libro,toys,es,0.24317476789184278,25.173995030217114,0.26897386600668605,17.055452322355624
muñeca,doll,muñeca,toys,es,0.20188959135758283,23.79243110197577,0.20441182613711317,14.564455291551583
osito,teddybear,osito,toys,es,0.20900598239658252,23.43306158137023,0.16292720219396709,14.712387267770678
patines,skate (object),patines,toys,es,0.21480174960522605,30.41763852297254,,
pelota,ball,pelota,toys,es,0.2697953943877761,18.637288600680865,0.30773209191718265,9.203399889981581
pinturas,painting,pinturas,toys,es,0.2340429446346142,28.20770611385241,,
plastilina,clay,plastilina,toys,es,0.22105370107852151,29.958200617086824,,
tambor,drum (object),tambor,toys,es,0.17291350716919807,30.010081381123623,0.31589040484778275,18.512940879591092
triciclo (toys),tricycle,triciclo,toys,es,0.1998368720148705,27.79913851587351,,
botas,boots,botas,clothing,es,0.21781986275681295,26.972200820269464,0.3560194506473504,20.04694397191653
bolsa (clothing),purse,bolsa,clothing,es,0.2452893078695858,24.222555201126372,0.3328393954343969,15.17195775335929
babero,bib,babero,clothing,es,0.1974208316112384,26.324069596860426,0.15696404890988308,15.346405354730068
aretes,earring,aretes,clothing,es,0.20019244747694798,27.275416721071988,0.2111852105037805,18.904036932043017
abrigo,coat,abrigo,clothing,es,0.1370073175935026,35.60440572069953,,
almohada,pillow,almohada,household,es,0.24047673659761135,24.754177384179034,0.2287076518532076,14.853866444755734
aspiradora,vacuum,aspiradora,household,es,0.1570236279289871,36.50947479978704,0.27173414494466785,22.983520722324794
basura,trash,basura,household,es,0.2778806816876244,22.037377326938916,0.3767336090614837,14.49732392917066
bolsa (household),bag,bolsa,household,es,0.22445218311806334,23.443241253102205,,
caja,box,caja,household,es,0.2484500525138134,24.838737573345373,0.3038202654537949,17.366285486707046
cámara,camera,cámara,household,es,0.2235721186398739,28.96726415110034,,
canasta,basket,canasta,household,es,0.21031109038508974,30.732671956735114,,
cassette,tape (object),cassette,household,es,0.20118734013476947,28.92058569157911,,
cepillo de dientes,toothbrush,cepillo de dientes,household,es,0.24625748351380466,24.6981639182774,0.3557498981684606,16.50568525675525
cepillo,brush (object),cepillo,household,es,0.25420838484683905,22.948184173836207,0.3070774907831395,13.605927433468144
cerillos,matches,cerillos,household,es,0.19676456591755445,28.666183518895863,,
cigarros,cigarette,cigarros,household,es,0.1986566071176089,30.354571016389286,0.2710092421805831,20.66795120002394
clavo,nail (object),clavo,household,es,0.21832744476856247,31.215719133853113,,
cobija,blanket,cobija,household,es,0.2378793012222866,25.41708771689569,0.2324496493693321,14.925009732776296
cuadro,picture,cuadro,household,es,0.20365102785892109,30.42491643699427,0.28714912880181503,21.426998581146528
cubeta,tray,cubeta,household,es,0.2296709001904566,26.268155067835004,,
cuchara,spoon,cuchara,household,es,0.23386680279505734,23.023412763704503,0.28416673657062785,11.666103543997718
cuchillo,knife,cuchillo,household,es,0.2775482055885555,25.275876703925984,0.4365115297372967,17.984278210037953
dinero,money,dinero,household,es,0.2490192881200598,23.10286231239069,0.41849977836922564,15.846133663438717
escoba,broom,escoba,household,es,0.2559363575432811,24.456323812157496,0.3949290851657763,15.324693049636522
espejo,mirror,espejo,household,es,0.2298910996922131,26.574993210004124,0.19607590154245685,15.326532135467742
fotos,photo,fotos,household,es,0.25397953045165383,24.086448172376443,0.23566287316047102,16.04462127658449
jabón,soap,jabón,household,es,0.2673110253350862,22.025466963397538,0.3359050682640246,14.44970797758149
lámpara,lamp,lámpara,household,es,0.21841350515636587,29.354969958365714,,
llave,key,llave,household,es,0.21687228179536983,23.036822437615335,0.30046692165491645,13.017732225345021
luz,light (object),luz,household,es,0.27120498095608186,21.105565374454432,0.2761028463717909,14.166493913258902
martillo,hammer,martillo,household,es,0.1936976945883185,30.968961303220237,0.42131502882156313,19.491492447570817
medicina,medicine,medicina,household,es,0.24814119537375562,25.033181374401295,0.23216876950197823,15.92767558444988
olla,pot,olla,household,es,0.18615802553719984,28.78496718146553,,
pañuelo,tissue,pañuelo,household,es,0.17529718963723512,31.050706909714414,,
papel,paper,papel,household,es,0.2649682776049528,22.4685536780601,0.2791011205390076,14.737730525110159
pasta de dientes,toothpaste,pasta de dientes,household,es,0.23071767340166074,27.15503977364851,,
peine,comb (object),peine,household,es,0.23632529284255038,24.143976136438674,0.24279269393688369,13.13685283667829
periódico,newspaper,periódico,household,es,0.20335213830304585,31.2441640452378,,
plancha,iron (object),plancha,household,es,0.2574813529280442,27.805536818026916,,
plato,plate,plato,household,es,0.26489447163762986,22.204659310953822,0.33445311940204825,13.316093786099009
radio,radio,radio,household,es,0.2125978188342011,26.92454397537947,0.24670555290061344,15.916350643465615
reloj,watch (object),reloj,household,es,0.21875305561581082,26.065702840268735,0.25946649939449346,18.103394613450376
servilleta,napkin,servilleta,household,es,0.23237870093570728,26.30232224553494,,
tapete,rug,tapete,household,es,0.1971773132262197,31.575807088212738,,
taza,cup,taza,household,es,0.23008111160598266,24.723343584436034,0.26095585280345834,16.214017382783883
teléfono,telephone,teléfono,household,es,0.22671684655230043,23.005888461755635,0.2697268700694632,12.983008761621061
tenedor,fork,tenedor,household,es,0.21553809083113118,27.53491847829631,0.41171812740600383,18.034088548790738
tijeras,scissors,tijeras,household,es,0.2682830501642809,26.622091002825428,0.4218617309733692,18.399375775609823
toalla,towel,toalla,household,es,0.23666278870083318,25.777448026298465,0.2821979660706633,16.981990868554526
trapo,cloth,trapo,household,es,0.20523804180930239,27.984122259385718,0.2936468649104644,17.755413445484546
vasos,glass,vasos,household,es,0.23654014420651256,22.69015430844366,0.31940739495179926,12.418821305832974
vela,candle,vela,household,es,0.20347130276662398,29.064361788817983,0.3099306256669255,20.300861014996617
árbol,tree,árbol,outside,es,0.23877324899337282,23.63253119586092,0.275435524275794,15.35483720481529
bandera,flag,bandera,outside,es,0.24718011541260754,28.547823860837532,,
cielo,sky,cielo,outside,es,0.21924597723004616,25.67314058983363,0.34145372854140443,16.637305353621333
coladera,drain (object),coladera,outside,es,0.16469578057322615,34.95032678497554,,
columpio,swing (object),columpio,outside,es,0.24403148556807164,26.426500366567637,0.2686913378423987,17.813869592741515
estrella,star,estrella,outside,es,0.21567803777194772,26.24031878159714,0.4819818813230886,17.807854238421285
flor,flower,flor,outside,es,0.23420290460559773,23.852626988991144,0.25208985715191723,16.62093855686782
fuego,fire,fuego,outside,es,0.18301092538883187,30.606433998103487,,
hojas,leaf,hojas,outside,es,0.21081397207321706,27.389669892398853,,
leña,firewood,leña,outside,es,0.11161237153457146,41.90516831949387,,
lluvia,rain,lluvia,outside,es,0.2228845963097914,25.406696849763055,0.38347915220308476,16.648381331448327
luna,moon,luna,outside,es,0.24212017139499387,22.672252977420644,0.40057519978681727,16.68538818934823
maceta,flower pot,maceta,outside,es,0.1827574298497587,29.939419329916426,,
manguera,hose,manguera,outside,es,0.22322197337483232,29.98810439411499,,
muñeco de nieve,snowman,muñeco de nieve,outside,es,0.11413837012019379,42.94890897387272,,
nieve,snow,nieve,outside,es,0.17685403659756221,31.358801331588747,0.4138554294027244,19.974029665653717
nube,cloud,nube,outside,es,0.21463473288355225,27.23846570796352,0.40158132635374094,19.265412646023872
pala,shovel,pala,outside,es,0.19897450523786192,29.942559174519246,,
palo,stick,palo,outside,es,0.21782151243753267,23.961477734970615,,
pasto,grass,pasto,outside,es,0.2182486313356305,27.095617191347948,,
piedra,rock (object),piedra,outside,es,0.23083546583862616,25.586049218785828,0.35381852784947365,16.708789410308547
planta,plant,planta,outside,es,0.19252706954644774,27.914162508946994,0.2337725834150208,16.978035156820606
reja,grill (object),reja,outside,es,0.16355348904902425,34.25536054295155,,
resbaladilla,slide (object),resbaladilla,outside,es,0.21440436425164688,28.500771612499392,0.36840770242419585,18.287685970507887
sol,sun,sol,outside,es,0.2529800859675127,22.542827792130804,0.3331949733177034,16.83248120087255
tanque,,tanque,outside,es,0.1408999345582769,37.97832669190958,,
techo,roof,techo,outside,es,0.18817308503139704,29.786781870782303,0.395401025976782,19.361736221424927
tierra,soil,tierra,outside,es,0.23296023865796703,25.4608678539897,,
timbre,doorbell,timbre,outside,es,0.16623155139375664,31.555358741582936,,
bacinica,potty,bacinica,furniture_rooms,es,0.18270125529018552,28.4387671532917,0.40648339786197785,18.803213044950315
banco (outside),bench,banco,furniture_rooms,es,0.17200576064807435,28.6024390771513,,
baño,bathroom,baño,furniture_rooms,es,0.24839014292853293,22.239662993832866,0.27196449222039554,12.969247270212543
cajón,drawer,cajón,furniture_rooms,es,0.21837810581979017,27.39059316610799,0.3227185161209842,17.704817338698568
cama,bed,cama,furniture_rooms,es,0.2919519156068865,21.03746882591057,0.2966157382919354,10.611485401935
champú,shampoo,champú,furniture_rooms,es,0.19755730076812994,24.82020121680397,,
cocina,kitchen,cocina,furniture_rooms,es,0.24477870194317794,25.083941803621936,0.30361156404053596,14.983698605826145
computadora,computer,computadora,furniture_rooms,es,0.12075662522301382,40.312042955990336,,
cuarto,room,cuarto,furniture_rooms,es,0.21260494376109237,25.840389738734178,0.32900665568772164,14.743520884881962
cuna,crib,cuna,furniture_rooms,es,0.19728320763471854,24.41234247246336,0.14226918659702836,12.082029590907538
escaleras,stairs,escaleras,furniture_rooms,es,0.2146231429956919,26.52416453537668,0.32852729017985116,15.878533506536682
estufa,stove,estufa,furniture_rooms,es,0.24327073224402937,27.26437122068546,0.38053345265711913,17.126997274273855
horno,oven,horno,furniture_rooms,es,0.17291775717480315,34.20937164810819,0.410189756818916,20.276605261032433
lavabo,sink,lavabo,furniture_rooms,es,0.19102693286499184,30.86621336685176,0.3865003491339171,18.18154314461317
lavadora,washing machine,lavadora,furniture_rooms,es,0.22682163709387593,28.911860316993916,,
librero,bookshelf,librero,furniture_rooms,es,0.19152951856230196,33.31630783427136,,
mesa,table,mesa,furniture_rooms,es,0.27298736968799353,21.85910450825909,0.36352718864531314,13.55637054282104
mueble,furniture,mueble,furniture_rooms,es,0.17071257831314354,33.523926356219825,,
patio (outside),patio,patio,furniture_rooms,es,0.203102392113925,27.67543950875976,,
puerta,door,puerta,furniture_rooms,es,0.2595021774115702,22.828103193767515,0.37050871442110866,13.419032953729268
recámara,bedroom,recámara,furniture_rooms,es,0.19336440118524903,30.540915628776524,0.2618155947035291,19.63132158631395
refrigerador,refrigerator,refrigerador,furniture_rooms,es,0.23241261928086232,27.48088818313515,0.3674373007141978,17.21525196991472
sala,living room,sala,furniture_rooms,es,0.21377013205880258,27.304369023710226,0.3273891165416677,18.110806144897353
