"uni_lemma","English","Spanish","French"
"fix","fix","arreglar(se)","réparer"
"get","get",NA,NA
"give","give","regalar; dar","donner; donner aller"
"go","go","ir(se)","aller"
"hate","hate",NA,"détester"
"have","have","tener","avoir"
"hear","hear","oír","entendre"
"help","help","ayudar","aider"
"hide","hide","esconder(se)","cacher"
"hit","hit","te voy a pegar...; pegar(se)","se cogner; taper"
"hold","hold","agarrar","tenir"
"hug","hug",NA,"prendre dans ses bras"
"hurry","hurry","apurar(se)","se dépêcher"
"jump","jump","saltar; brincar","sauter"
"kick","kick","patear","donner un coup; donner un coup de pied"
"kiss","kiss","besitos; besar","faire un bisou"
"knock","knock",NA,"frapper à la porte"
"lick","lick",NA,"lécher"
"like","like","gustar","aimer bien"
"listen","listen","escuchar","écouter"
"look","look","mirar","regarder"
"love","love",NA,"aimer"
"make","make",NA,NA
"open (action)","open","abrir","ouvrir"
"paint (action)","paint","pintar","faire de la peinture"
"pick","pick",NA,"ramasser"
"play","play","jugar","jouer"
"pour","pour",NA,"verser"
"pretend","pretend",NA,"faire semblant"
"pull","pull","jalar","tirer"
"push","push","empujar","pousser"
"put","put","meter(se); poner(se)","déposer; mettre"
"read","read","leer","lire"
"ride","ride",NA,"faire du vélo/moto; faire du vélo/de la moto"
"rip","rip",NA,NA
"run","run","correr","courir"
"say","say","decir","dire"
"see","see","ver(se); ver","voir"
"shake","shake",NA,"secouer"
"share","share",NA,"partager"
"show","show","enseñar","montrer"
"sing","sing","cantar","chanter"
"sit","sit","sentar(se)","s'asseoir"
"skate (action)","skate","patinar","faire du patin"
"sleep","sleep","dormir(se)","dormir"
"slide (action)","slide (action)",NA,"glisser"
"smile","smile",NA,"sourire"
"spill","spill",NA,"renverser"
"splash","splash",NA,"éclabousser"
"stand","stand","levantar(se); parar(se)",NA
"stay","stay","quedar(se)","rester"
"stop","stop",NA,"arrêter"
"sweep","sweep","barrer","balayer"
"swim","swim","nadar","nager"
"swing (action)","swing (action)",NA,"balancer"
"take","take","llevar(se); sacar; tomar(se)","prendre"
"talk","talk","platicar","parler"
"taste","taste",NA,"goûter"
"tear","tear",NA,"arracher; déchirer"
"think","think","pensar","penser"
"throw","throw","tirar; aventar",NA
"tickle","tickle","cosquillitas","chatouiller"
"touch","touch","tocar","toucher"
"wait","wait","esperar(se)","attendre; attends"
"wake","wake",NA,"se réveiller"
"walk","walk","andar; caminar","marcher"
"wash","wash","lavar(se)","laver"
"watch (action)","watch (action)","buscar",NA
"wipe","wipe",NA,"essuyer"
"wish","wish",NA,"souhaiter"
"work (action)","work (action)","trabajar","travailler"
"write","write","escribir","écrire"
"all gone","all gone",NA,"parti"
"asleep","asleep",NA,"endormi"
"awake","awake","despierto","être réveillé"
"bad","bad","malo","pas bon"
"better","better","mejor","mieux"
"big","big","grande","grand/e; grand"
"black","black","negro","noir"
"blue","blue","azul","bleu"
"broken","broken","roto","cassé"
"brown","brown",NA,"marron"
"careful","careful","cuidado",NA
"clean (description)","clean (description)","limpio","propre"
"cold","cold","frío","froid"
"cute","cute","chulo; guapo; linda","mignon/e; mignon/ne"
"dark","dark","oscuro","sombre"
"dirty","dirty","sucio","sale"
"dry (description)","dry (description)","seco","sec/he; sec/che"
"empty","empty","vacío","vide"
"fast","fast","rápido (descriptive)","vite"
"fine","fine",NA,NA
"first","first","primero","premier/ère"
"full","full","lleno","plein/e; plein/ne"
"gentle","gentle",NA,NA
"good","good","bueno","bien; bon/ne"
"green","green","verde","vert/e"
"happy","happy","feliz; contento","content/e"
"hard","hard","difícil","dur"
"heavy","heavy","pesado","lourd/e"
"high","high",NA,"haut/e"
"hot","hot","caliente","chaud/e"
"hungry","hungry","hambre","avoir faim"
"hurt (description)","hurt",NA,"blessé"
"last","last","último","dernier/e"
"little (description)","little (description)","chico; poco","minuscule; petit/e"
"long","long","largo","long/ue"
"loud","loud",NA,"bruyant/e"
"mad","mad",NA,NA
"naughty","naughty","travieso","coquin/e; vilain/e"
"new","new","nuevo","neuf/ve"
"nice","nice",NA,"gentil/le"
"noisy","noisy","ruidoso",NA
"old","old","viejo","vieux/vieille"
"orange (description)","orange (description)",NA,"orange"
"poor","poor","pobre",NA
"pretty","pretty","bonita","joli"
"quiet","quiet","tranquilo",NA
"red","red","rojo","rouge"
"sad","sad","triste","triste"
"scared","scared","asustar(se); miedo/susto; miedo","avoir peur"
"sick","sick","enfermo","malade"
"sleepy","sleepy","sueño","avoir sommeil"
"slow","slow","lento","lent/e"
"soft","soft","suave","doux/ce"
"sticky","sticky","pegajoso","collant/e"
"stuck","stuck",NA,"coincé"
"thirsty","thirsty","sed","avoir soif"
"tiny","tiny",NA,NA
"tired","tired","cansado","fatigué"
"wet (description)","wet","mojado","mouillé"
"white","white","blanco","blanc/he"
"windy","windy",NA,"venteux"
"yellow","yellow","amarillo","jaune"
"yucky","yucky","fuchi",NA
"after","after","después","après"
"before","before","antes","avant"
"day","day","día","jour"
"later","later","al rato; luego",NA
"morning","morning","en la mañana","matin"
"night","night","en la noche; noche","nuit"
"now","now","ahorita/ahora","maintenant"
"time","time",NA,"heure"
"today","today","hoy","aujourd'hui"
"tomorrow","tomorrow","mañana","demain"
"tonight","tonight",NA,"ce soir"
"yesterday","yesterday","ayer","hier"
"3SG.POSS","he; her; hers; his","su; suya; suyas; suyo; suyos","à elle/sa; à lui/son; lui; ses"
"3SG","him; it; she","él (pronouns); ella; le; lo; su","elle; il; Il; lui"
"1SG","I; me","me; yo; él (pronouns); ella","je; moi"
"1SG.POSS","mine; my","mí; mía; mías; mío; míos","à moi; ma/mon/mes"
"1SG.REFL","myself",NA,"moi-même"
"1PL.POSS","our","nuestro","notre"
"that","that","aquel; aquella; esa; ese; eso; que (connection word)","ça"
"3PL.POSS","their",NA,"leur"
"3PL","them; they","ellas; ellos; les","eux; ils/elles"
"these","these","éstas; éstos","ces"
"this","this","ésta; éste; esto",NA
"those","those","aquellas; aquellos; esas; esos","ceux"
"1PL","us; we","nosotros; ellas; ellos","nous; on"
"2SG","you","te (pronouns); tí; tú; te","vous/tu"
"2SG.POSS","your","tuya; tuyas; tuyo; tuyos","votre/ta/ton"
"2SG.REFL","yourself",NA,"toi-même"
"how","how","cómo","comment"
"what","what","qué (question_words); qué","quoi"
"when (question)","when","cuándo","quand"
"where (question)","where","dónde; dónde está","où"
"which (question)","which","cuál","le/la/les/quelles; le/la/les/quel(les)"
"who","who","quién","qui"
"why","why","por qué","pourquoi"
"about","about",NA,"au sujet de"
"above","above",NA,"au dessus de; par dessus"
"around","around",NA,"autour de"
"at","at",NA,"à"
"away","away",NA,NA
"back (location)","back","atrás",NA
"behind","behind",NA,"derrière"
"beside","beside",NA,NA
"by","by",NA,NA
"down","down","abajo","en bas"
"for","for","para; pues","pour"
"here","here","aquí","ici"
"in","inside/in; in","en","dans"
"into","into",NA,NA
"next to","next to",NA,"à côté de"
"of","of","de","de"
"off","off",NA,NA
"on","on","encima","sur"
"on top of","on top of",NA,NA
"out","out","afuera",NA
"over","over",NA,"par-dessus"
"there","there","ahí; allá; allí; alla/allí","là; là-bas"
"to","to","a",NA
"under","under",NA,"sous"
"up","up","arriba","en haut"
"with","with","con","avec"
"a","a; an","un; una; unas; unos","un/une"
"all","all","todo","tous/tout"
"a lot","a lot","mucho","plein/beaucoup"
"another","another",NA,"un autre"
"any","any",NA,NA
"each","each",NA,NA
"every","every",NA,NA
"more","more","más",NA
"much","much",NA,NA
"none","none","no hay","aucun/e; aucun/ne"
"not","not",NA,"ne pas; pas"
"other","other",NA,"autre"
"same","same","igual","le/la même"
"some","some","unas; unos","du/de la/des"
"the","the","el (propositions); la; las; los; el (articles)","le/la/les"
"too","too",NA,NA
"am","am",NA,"suis"
"are","are",NA,"sont"
"be","be","estar; ser","être"
"can (auxiliary)","can (auxiliary)","poder",NA
"could","could",NA,"pourrait"
"did","did/did ya",NA,"a fait"
"do","do","hacer","faire; fait"
"does","does",NA,NA
"don't","don't",NA,"ne fais pas"
"gonna","gonna/going to",NA,NA
"gotta","gotta/got to",NA,NA
"have to","hafta/have to",NA,NA
"is","is",NA,"est"
"lemme","lemme/let me",NA,NA
"need","need/need to",NA,"devoir faire"
"try","try/try to",NA,"essayer de"
"wanna","wanna/want to",NA,NA
"was","was",NA,"était"
"were","were",NA,NA
"will","will",NA,NA
"would","would",NA,NA
"and","and","y","et"
"because","because",NA,"parce que"
"but","but","pero","mais"
"if","if",NA,"si"
"so","so","así","alors; donc"
"then","then","entonces",NA
"inside","inside","adentro","à l'intérieur de; dedans"
