token_clean,token,uni_lemma,category,l1,growth_rate_p,median_aoa_p,growth_rate_u,median_aoa_u
baa baa,baa baa,baa baa,sounds,en,0.16936158892744868,17.08506707697012,0.1686152132162145,12.388387704576868
choo choo,choo choo,choo choo,sounds,en,0.2946811370760096,19.796162597072684,0.2758380116352651,15.74175836306593
cockadoodledoo,cockadoodledoo,cockadoodledoo,sounds,en,0.18715739520575622,26.687818961390352,0.29266750577535317,17.79133517390515
grrr,grrr,grrr,sounds,en,0.18314440514631497,17.870706649857194,0.2733353669375942,14.06980519425049
meow,meow,meow,sounds,en,0.31236494962817046,17.454162428749363,0.2898290321388962,12.523577817127185
moo,moo,moo,sounds,en,0.32789796782711245,16.87754403788971,0.3284889808254244,13.658616095116317
ouch,ouch,ouch,sounds,en,0.2672872251426124,18.730825309910188,0.25566331691189087,13.417273875308675
quack quack,quack quack,quack quack,sounds,en,0.2582313799153256,18.627606279164628,0.3184498007719531,14.007871090651486
uh oh,uh oh,uh oh,sounds,en,0.35657665988134934,14.514391268710863,0.29689228858200806,10.406162159412906
vroom,vroom,vroom,sounds,en,0.1675037327321581,19.346577973616427,0.32290306906884053,14.307639790039188
woof woof,woof woof,woof woof,sounds,en,0.2827800139361099,16.3323197500422,0.32624443932913805,12.029016126474005
yum yum,yum yum,yum yum,sounds,en,0.1641612129566774,18.403975640621056,0.2075741949567423,11.247832792333574
alligator,alligator,alligator,animals,en,0.26302108810994196,26.538716769096077,,
animal,animal,animal,animals,en,0.2692138541694536,25.024418128159585,0.29120895633086075,17.443288044902438
ant,ant,ant,animals,en,0.23186358735034326,26.28088915089981,,
bear,bear,bear,animals,en,0.2621966548615628,20.533438748835408,0.3396153598155347,15.096124112764787
bee,bee,bee,animals,en,0.2604553487864016,22.00968256025717,0.35849615012038455,17.414139774387433
bird,bird,bird,animals,en,0.28362385690205116,18.56097874843971,0.3855971905991237,13.462913536471934
bug,bug,bug,animals,en,0.2570116223639844,22.946132107672682,0.325263283069797,17.95204221184939
bunny,bunny,bunny,animals,en,0.26638307934558375,21.504719283495152,0.32913178298993323,14.968567947346195
butterfly,butterfly,butterfly,animals,en,0.3059258017636821,23.488769492882994,0.3420366861482548,17.72671174045517
cat,cat,cat,animals,en,0.2772660247027743,18.337406653725626,0.30911199334758604,11.959125897187716
chicken,chicken (animal),chicken (animal),animals,en,0.28838266807306234,23.230891182173938,0.3373491662016548,16.809880716856878
cow,cow,cow,animals,en,0.2952607056381981,20.72434922905342,0.36932479611970115,14.572409316864407
deer,deer,deer,animals,en,0.20444611210757738,28.519121709871104,0.2844267860637672,20.93474443647855
dog,dog,dog,animals,en,0.31204672347501383,15.678054608578991,0.37291034471270146,10.032340775060733
donkey,donkey,donkey,animals,en,0.19395302265446182,30.53321220091781,0.2630778877506624,21.786917658182055
duck,duck,duck,animals,en,0.26083014171604535,18.59921936821059,0.36493598582055686,13.996323953827716
elephant,elephant,elephant,animals,en,0.31094130439694273,22.96507584797551,0.32526273267090966,16.951882521153756
fish,fish (animal),fish (animal),animals,en,0.29740461028008514,19.782891583736937,0.38103762368031807,15.100779345096452
frog,frog,frog,animals,en,0.3000746499313125,22.674766598725725,0.360971192544777,17.048455378967798
giraffe,giraffe,giraffe,animals,en,0.2614474668913734,24.7536799944883,0.30270013094128273,18.577968586302518
goose,goose,goose,animals,en,0.1929991327573539,29.823329019716166,0.2954700682119478,20.667024769753443
hen,hen,hen,animals,en,0.18015715812641947,34.15628218942444,,
horse,horse,horse,animals,en,0.3067309350901713,21.455228189913488,0.36924882514603813,15.646368503632626
kitty,kitty,kitty,animals,en,0.2060802028801916,20.23499239133227,0.27911200681376835,13.200359281318859
lamb,lamb,lamb,animals,en,0.20488770184929045,29.217660597143762,0.2610416869403411,19.64388176644905
lion,lion,lion,animals,en,0.2920355780469919,23.384482877090385,0.3271305743861113,17.10674702344256
monkey,monkey,monkey,animals,en,0.3235891429536078,21.67593775072747,0.30284955422657345,16.231947903263336
moose,moose,moose,animals,en,0.18268927311570285,31.54248230354946,,
mouse,mouse,mouse,animals,en,0.2710724002128752,24.015708539531214,0.3380647202223137,18.041078346205612
owl,owl,owl,animals,en,0.2273013971259192,24.11938877439467,0.33193123831855775,18.164567816631582
penguin,penguin,penguin,animals,en,0.2580506651665628,26.625353756610487,0.2906372383425033,20.410030010879655
pig,pig,pig,animals,en,0.30412148357893287,21.62125217764903,0.3518574340333094,15.440388648880257
pony,pony,pony,animals,en,0.2110376198210708,29.860464636190034,0.22413656534216833,22.555111229063435
puppy,puppy,puppy,animals,en,0.2380980901563325,21.77359934456472,0.27492340773670226,14.6019573442013
rooster,rooster,rooster,animals,en,0.2116975406238381,29.96993284578149,,
sheep,sheep,sheep,animals,en,0.2511928413489603,24.097179102075632,0.33198046470417225,17.354432026584
squirrel,squirrel,squirrel,animals,en,0.2490404401325502,25.822067284061553,0.2967091895534254,19.478902083982845
teddybear,teddybear,teddybear,animals,en,0.22967899646662404,24.474435505568117,0.2777798678897142,15.174878663541035
tiger,tiger,tiger,animals,en,0.2787285048284058,24.352791126972715,0.3207644264078836,18.36902263517407
turkey,turkey,turkey,animals,en,0.21397524179536836,28.78143357233862,0.24742071589556994,22.828718172265596
turtle,turtle,turtle,animals,en,0.27349057133249827,23.163816043057015,0.306959454617558,18.478857494805386
wolf,wolf,wolf,animals,en,0.21831487422830054,30.142823707100632,,
zebra,zebra,zebra,animals,en,0.2390573583675108,25.91470909916512,,
airplane,airplane,airplane,vehicles,en,0.30987455159557803,21.017576668097803,0.36624300043326885,15.339911232960295
bicycle,bicycle,bicycle,vehicles,en,0.28856635093550315,22.661107578698534,0.380954655977262,16.84494271866418
boat,boat,boat,vehicles,en,0.2573477881475428,21.380762833691453,,
bus,bus,bus,vehicles,en,0.3089469569807742,21.11179339633732,0.3474733999488594,16.692182355992607
car,car,car,vehicles,en,0.36232342063822237,18.037034511050525,0.37062982361267066,11.381613053956917
firetruck,firetruck,firetruck,vehicles,en,0.29786622092366233,24.55777985375169,0.3276448014065225,17.76896319433574
helicopter,helicopter,helicopter,vehicles,en,0.2677346868442705,25.71304786302965,,
motorcycle,motorcycle,motorcycle,vehicles,en,0.27471906770062243,26.14412309647859,0.3316524327720473,19.54519626681338
sled,sled,sled,vehicles,en,0.1718203289106766,33.302051604780466,,
stroller,stroller,stroller,vehicles,en,0.24709914399649463,25.656861591522876,0.30560079944867097,13.31801589656383
tractor,tractor,tractor,vehicles,en,0.20043005953476048,26.53128272824713,,
train,train,train,vehicles,en,0.33974218211776624,21.393552637486934,0.35844948681122596,15.990386034646825
tricycle,tricycle,tricycle,vehicles,en,0.19393193604282022,32.53665246278565,,
truck,truck,truck,vehicles,en,0.30303970131172114,20.01219584114763,0.34873341757868953,15.064491127649225
ball,ball,ball,toys,en,0.45252641621272394,14.652874832802517,0.4533430832742148,9.434425427362628
balloon,balloon,balloon,toys,en,0.2722131571145474,18.847612455548152,0.3637700616349343,13.67498348935257
bat,bat,bat (object),toys,en,0.20324780651772495,28.283839962992023,,
block,block,blocks,toys,en,0.23732175441408632,22.56688502669205,0.320521629721372,14.400233722353251
book,book,book,toys,en,0.32245221645681765,16.962835694678507,0.402909062509037,9.97759238162218
bubbles,bubbles,bubbles,toys,en,0.3035108556983672,18.901698911721585,0.37678770801915057,14.615474673799953
chalk,chalk,chalk,toys,en,0.22937269751746994,28.213452392813352,,
crayon,crayon,crayon,toys,en,0.2770533500686225,23.7612766876094,,
doll,doll,doll,toys,en,0.2039346532487921,23.74289384128519,0.2610341347936219,16.007650988759604
game,game,game,toys,en,0.2716710595335713,27.147298825939988,,
glue,glue,glue (object),toys,en,0.2692869216169827,30.75834187626162,,
pen,pen,pen,toys,en,0.23884733411920286,25.58752380800943,0.3272543480775013,17.55916823222199
pencil,pencil,pencil,toys,en,0.23874550190883836,27.050357348794016,,
play dough,play dough,play dough,toys,en,0.2624770809453732,27.04047908992861,,
present,present,present,toys,en,0.27716914571570045,26.42010603731707,,
puzzle,puzzle,puzzle,toys,en,0.27330571210164406,24.991193538164197,,
story,story,story,toys,en,0.27288499507687636,25.41886259152951,,
toy,toy (object),toy (object),toys,en,0.3148693021260712,22.127251921484547,0.2434824238000205,13.006757628659278
apple,apple,apple,food_drink,en,0.3443540491053051,18.595261879075878,0.36706109546508103,14.157385222549657
applesauce,applesauce,applesauce,food_drink,en,0.20700310085731297,26.651373107387315,,
banana,banana,banana,food_drink,en,0.32534199058268054,16.913057208434008,0.3734328126178394,11.393726692626286
beans,beans,beans,food_drink,en,0.18737731134192395,26.511864379483157,,
bread,bread,bread,food_drink,en,0.27877067092922786,22.563173876152558,0.3168918091668611,15.148178320647775
butter,butter,butter,food_drink,en,0.2658059319039972,26.029311409585198,0.27233257153290247,22.147793396375405
cake,cake,cake,food_drink,en,0.3533843506982109,22.516189823375594,0.24959318963511684,20.314073376550876
candy,candy,candy,food_drink,en,0.3006924824300847,23.81780424919163,0.24006431563129693,21.06555122947854
carrots,carrots,carrot,food_drink,en,0.2816685205994182,24.333446063177245,0.2569002414963716,17.42061052787033
cereal,cereal,cereal,food_drink,en,0.2782831269294176,23.22426499801432,0.23516371090500043,15.930395450072234
